TSNE1,TSNE2,KMeans_Cluster
-56.963993,28.667616,0
-45.625507,33.847942,0
53.98291,-14.319036,1
45.26877,-17.850477,1
-16.129787,47.054924,0
-37.744514,29.607746,0
-9.213086,41.75874,0
47.25905,-21.082886,1
-28.857332,5.9023247,0
-16.717129,42.83019,0
50.70057,-29.110928,1
-22.478256,-35.221222,0
37.418888,6.4122963,1
20.97494,13.433212,1
21.477095,-8.135702,1
26.099754,6.352235,1
-4.076818,-3.0364854,0
-29.704483,-12.180873,0
41.53058,-22.450962,1
-6.645196,-3.8932002,0
42.836483,-26.065577,1
28.735714,-29.18355,1
-17.289875,32.69065,0
46.2511,-28.922623,1
65.90364,11.650461,1
-25.47881,-32.550255,0
-15.693207,-23.051487,0
-8.856819,-47.999504,0
44.154556,-21.781424,1
51.552498,-23.838701,1
13.701436,17.88922,1
-16.825434,-2.0744324,0
51.37326,14.440406,1
39.997147,-24.156199,1
41.772934,-26.532595,1
53.491707,14.391524,1
1.0104486,-17.45617,0
54.80341,1.9918299,1
-45.91579,18.247038,0
54.00208,-24.259426,1
-35.12317,-41.783825,0
-42.259293,30.138838,0
28.40395,18.479229,1
7.315498,-39.328842,0
66.27292,2.0388746,1
58.25917,11.359157,1
48.82611,-25.711248,1
27.174679,-6.004225,1
48.006756,-24.186426,1
-12.361954,-23.985926,0
19.997389,23.852106,1
-31.229006,-43.046963,0
39.976753,-30.966772,1
-20.717268,-13.359622,0
44.853996,-8.238898,1
19.838402,30.131117,1
16.121687,7.197358,1
14.286373,-4.6866617,1
-12.634524,44.440975,0
20.069393,2.513062,1
65.60272,-2.3746052,1
56.463898,5.9796534,1
-27.200293,-1.2024661,0
47.189266,18.427465,1
5.2662883,-8.115479,1
